"attribute","description"
"css_external","Number of external CSS definitions"
"font_sizes","Number of font sizes"
"font_families","Number of font families"
"colors","Number of colors"
"meta_tags","Number of meta tags"
"classes","Number of defined classes"
"js_sources","Number of JS sources"
"images","Number of images"
"links","Number of links"
"media_queries","Is using media queries?"
"ids","Number of defined ids"
"divs","Number of div elements"
"headings","Number of headings"
"text","Amount of text"
"html5_tags","Number of HTML5 tags"
"has_meta_keywords","Has meta keywords?"
"html_errors","Number of HTML errors"
"conditional_comments","Is using conditional comments?"
"rss","Has RSS feed?"
"css_prefixes","Is using CSS prefixes?"
